OBJECTID,DISTRICT_NUMBER,LOCATION,TELEPHONE_NUMBER
1,7,Bustleton Ave & Bowler St,686-3070
2,14,Haines St & Germantown Ave,686-3140
3,8,Academy Rd & Red Lion Rd,686-3080
4,2,Harbison Ave & Levick St,686-3020
5,35,N Broad St & Champlost St,686-3350
6,15,Harbison Ave & Levick St,686-3150
7,5,Ridge Ave & Cinnaminson St,686-3050
8,39,22nd St & Hunting Park Ave,686-3390
9,25,3901 Whitaker Ave,686-3250
10,22,17th St & Montgomery Ave,686-3220
11,24,3901 Whitaker Ave,686-3240
12,26,E Girard Ave & Montgomery Ave,686-3260
13,19,61st  St & Thompson St,686-3190
14,16,39th St & Lancaster Ave,686-3160
15,9,20th St & Pennsylvania Ave,686-3090
16,6,11th St & Winter St,686-3060
17,18,55th St & Pine St,686-3180
18,17,20th St & Federal St,686-3170
19,3,11th St & Wharton St,686-3030
20,12,65th St & Woodland Ave,686-3120
21,1,24th St & Wolf St,686-3010
22,0,Police Headquarters, 
23,0,Center City District, 
24,0,40th & Chestnut-U-Penn, 
